study,cluster,url,peer_reviewed,ground,ground_abbr,language,cluster_number,treatment_group_manuscript,treatment_group,control_group_manuscript,control_group,treatment_control,can_gender,can_education,can_employment,can_migrant_generation,year_research_start,month_research_start,quarter_research_start,year_research_end,month_research_end,quarter_research_end,country,us_state,country_iso3,region,subregion,subregion2,callback_type,agent_type,audit_type,airbnb,urbanisation,information,matched_design,identical_comparison_group,application_count_maj,application_count_min,callback_count_maj,callback_count_min,noncallback_count_maj,noncallback_count_min,rrate,rrate_ln,prrate_maj,prrate_min,prratio,prratio_ln,prratio_ln_se,prratio_ln_v,prratio_ln_p,prratio_ln_v_inv,prratio_std,dratio,odds_maj,odds_min,oddsratio,oddsratio_ln,oddsratio_ln_se,source_pagination,source_table,source_figure,source_appendix,general_comments,peer_reviewer_count,info_binary,region_agg,time_research_start,time_research_end,year_mid,year_mid_z,year_mid_fct,period_broad,period_narrow,flag_in_scope_ground,flag_complete_counts,flag_valid_effect,flag_main_sample
"Abbate, Berniell, Coleff, Laguinge, Machelett, Marchionni, Pedrazzi, & Florencia Pinto (2024)","Abbate, Berniell, Coleff, Laguinge, Machelett, Marchionni, Pedrazzi, & Florencia Pinto (2024) 1",https://doi.org/10.1016/j.labeco.2023.102486,Yes,Sexual orientation,seo,English,1,Gay,Same-sex orientation,Hetero,Heterosexual orientation,Same-sex orientation x Heterosexual orientation,Both,Various or Unknown,Employed,Unknown or NA,2022,April,2,2022,April,2,Ecuador,,ECU,South America,Latin America,Latin America,Positive reaction,Mixed or Unknown,Email,No,Urban,Work or income related information,No,No,39,39,15,19,24,20,0.4358974358974359,-0.8303483020734304,0.38461538461538464,0.48717948717948717,1.2666666666666666,0.23638877806423034,0.2607991455737227,0.0680161943319838,3.834368390280328,14.702380952380953,0.9064016584264766,0.2666666666666666,0.625,0.95,1.52,0.41871033485818504,0.45930916851365133,"6, 11",1,5,No,,2,Extensive,Other,2022.25,2022.25,2022,1.2757567588164636,2022,2021-2024,2021-2024,TRUE,TRUE,TRUE,TRUE
"Abbate, Berniell, Coleff, Laguinge, Machelett, Marchionni, Pedrazzi, & Florencia Pinto (2024)","Abbate, Berniell, Coleff, Laguinge, Machelett, Marchionni, Pedrazzi, & Florencia Pinto (2024) 2",https://doi.org/10.1016/j.labeco.2023.102486,Yes,Sexual orientation,seo,English,2,Gay,Same-sex orientation,Hetero,Heterosexual orientation,Same-sex orientation x Heterosexual orientation,Both,Various or Unknown,Employed,Unknown or NA,2022,April,2,2022,April,2,Argentina,,ARG,South America,Latin America,Latin America,Positive reaction,Mixed or Unknown,Email,No,Urban,Work or income related information,No,No,232,219,99,77,133,142,0.3902439024390244,-0.9409833444645266,0.4267241379310345,0.3515981735159817,0.823947234906139,-0.193648786431097,0.11921186272672187,0.014211468214774777,8.388426932748914,70.36570640606735,-1.6244086955927564,-0.17605276509386103,0.7443609022556391,0.5422535211267606,0.7284820031298905,-0.3167923576604129,0.19403369192393122,"6, 11",1,5,No,,2,Extensive,Other,2022.25,2022.25,2022,1.2757567588164636,2022,2021-2024,2021-2024,TRUE,TRUE,TRUE,TRUE
"Abbate, Berniell, Coleff, Laguinge, Machelett, Marchionni, Pedrazzi, & Florencia Pinto (2024)","Abbate, Berniell, Coleff, Laguinge, Machelett, Marchionni, Pedrazzi, & Florencia Pinto (2024) 3",https://doi.org/10.1016/j.labeco.2023.102486,Yes,Sexual orientation,seo,English,3,Gay,Same-sex orientation,Hetero,Heterosexual orientation,Same-sex orientation x Heterosexual orientation,Both,Various or Unknown,Employed,Unknown or NA,2022,April,2,2022,April,2,Peru,,PER,South America,Latin America,Latin America,Positive reaction,Mixed or Unknown,Email,No,Urban,Work or income related information,No,No,53,53,20,14,33,39,0.32075471698113206,-1.1370785694959058,0.37735849056603776,0.2641509433962264,0.7,-0.35667494393873245,0.28929694497517194,0.08369272237196766,3.4566559286888494,11.948470209339774,-1.2329025595805825,-0.30000000000000004,0.6060606060606061,0.358974358974359,0.5923076923076923,-0.5237290286018985,0.4211562980327225,"6, 11",1,5,No,,2,Extensive,Other,2022.25,2022.25,2022,1.2757567588164636,2022,2021-2024,2021-2024,TRUE,TRUE,TRUE,TRUE
"Abbate, Berniell, Coleff, Laguinge, Machelett, Marchionni, Pedrazzi, & Florencia Pinto (2024)","Abbate, Berniell, Coleff, Laguinge, Machelett, Marchionni, Pedrazzi, & Florencia Pinto (2024) 4",https://doi.org/10.1016/j.labeco.2023.102486,Yes,Sexual orientation,seo,English,4,Gay,Same-sex orientation,Hetero,Heterosexual orientation,Same-sex orientation x Heterosexual orientation,Both,Various or Unknown,Employed,Unknown or NA,2022,April,2,2022,April,2,Colombia,,COL,South America,Latin America,Latin America,Positive reaction,Mixed or Unknown,Email,No,Urban,Work or income related information,No,No,91,91,22,23,69,68,0.24725274725274726,-1.3973441973064755,0.24175824175824176,0.25274725274725274,1.0454545454545454,0.044451762570833796,0.25875622571464574,0.06695478434608869,3.864641313414394,14.935452481349337,0.17179011808533193,0.045454545454545414,0.3188405797101449,0.3382352941176471,1.0608288770053478,0.059050561991986696,0.34370254916168463,"6, 11",1,5,No,,2,Extensive,Other,2022.25,2022.25,2022,1.2757567588164636,2022,2021-2024,2021-2024,TRUE,TRUE,TRUE,TRUE
"Abbate, Berniell, Coleff, Laguinge, Machelett, Marchionni, Pedrazzi, & Florencia Pinto (2024)","Abbate, Berniell, Coleff, Laguinge, Machelett, Marchionni, Pedrazzi, & Florencia Pinto (2024) 5",https://doi.org/10.1016/j.labeco.2023.102486,Yes,Sexual orientation,seo,English,5,Gay,Same-sex orientation,Hetero,Heterosexual orientation,Same-sex orientation x Heterosexual orientation,Both,Various or Unknown,Mixed or Unknown,Unknown or NA,2022,April,2,2022,April,2,Argentina,,ARG,South America,Latin America,Latin America,Positive reaction,Mixed or Unknown,Email,No,Urban,No information,No,No,449,442,177,176,272,266,0.3961840628507295,-0.9258763705375126,0.39420935412026725,0.39819004524886875,1.010097911394023,0.01004726812887869,0.08271590394128295,0.006841920764823548,12.08957349616664,146.15778731921486,0.1214671864797716,0.01009791139402294,0.6507352941176471,0.6616541353383458,1.0167792362261585,0.01664001997862078,0.13699417790701315,"6, 11",1,5,No,,2,Standard,Other,2022.25,2022.25,2022,1.2757567588164636,2022,2021-2024,2021-2024,TRUE,TRUE,TRUE,TRUE
"Abbate, Berniell, Coleff, Laguinge, Machelett, Marchionni, Pedrazzi, & Florencia Pinto (2024)","Abbate, Berniell, Coleff, Laguinge, Machelett, Marchionni, Pedrazzi, & Florencia Pinto (2024) 6",https://doi.org/10.1016/j.labeco.2023.102486,Yes,Sexual orientation,seo,English,6,Gay,Same-sex orientation,Hetero,Heterosexual orientation,Same-sex orientation x Heterosexual orientation,Both,Various or Unknown,Mixed or Unknown,Unknown or NA,2022,April,2,2022,April,2,Peru,,PER,South America,Latin America,Latin America,Positive reaction,Mixed or Unknown,Email,No,Urban,No information,No,No,107,103,38,36,69,67,0.3523809523809524,-1.043042437513299,0.35514018691588783,0.34951456310679613,0.9841594276954523,-0.015967375038005306,0.1871871656787958,0.035039034994860954,5.342246603145602,28.539598768820724,-0.08530165505793573,-0.015840572304547718,0.5507246376811594,0.5373134328358209,0.9756480754124116,-0.024653336063982463,0.2889838992210098,"6, 11",1,5,No,,2,Standard,Other,2022.25,2022.25,2022,1.2757567588164636,2022,2021-2024,2021-2024,TRUE,TRUE,TRUE,TRUE
"Abbate, Berniell, Coleff, Laguinge, Machelett, Marchionni, Pedrazzi, & Florencia Pinto (2024)","Abbate, Berniell, Coleff, Laguinge, Machelett, Marchionni, Pedrazzi, & Florencia Pinto (2024) 7",https://doi.org/10.1016/j.labeco.2023.102486,Yes,Sexual orientation,seo,English,7,Gay,Same-sex orientation,Hetero,Heterosexual orientation,Same-sex orientation x Heterosexual orientation,Both,Various or Unknown,Mixed or Unknown,Unknown or NA,2022,April,2,2022,April,2,Ecuador,,ECU,South America,Latin America,Latin America,Positive reaction,Mixed or Unknown,Email,No,Urban,No information,No,No,77,78,24,25,53,53,0.3161290322580645,-1.15160481880862,0.3116883116883117,0.32051282051282054,1.028311965811966,0.02791858968434736,0.23634538467916155,0.05585914085914085,4.231095950350366,17.90217294107127,0.11812623175293563,0.028311965811965933,0.4528301886792453,0.4716981132075472,1.0416666666666667,0.0408219945202552,0.3455466910900326,"6, 11",1,5,No,,2,Standard,Other,2022.25,2022.25,2022,1.2757567588164636,2022,2021-2024,2021-2024,TRUE,TRUE,TRUE,TRUE
"Abbate, Berniell, Coleff, Laguinge, Machelett, Marchionni, Pedrazzi, & Florencia Pinto (2024)","Abbate, Berniell, Coleff, Laguinge, Machelett, Marchionni, Pedrazzi, & Florencia Pinto (2024) 8",https://doi.org/10.1016/j.labeco.2023.102486,Yes,Sexual orientation,seo,English,8,Gay,Same-sex orientation,Hetero,Heterosexual orientation,Same-sex orientation x Heterosexual orientation,Both,Various or Unknown,Mixed or Unknown,Unknown or NA,2022,April,2,2022,April,2,Colombia,,COL,South America,Latin America,Latin America,Positive reaction,Mixed or Unknown,Email,No,Urban,No information,No,No,179,177,40,32,139,145,0.20224719101123595,-1.5982646118359751,0.22346368715083798,0.1807909604519774,0.8090395480225989,-0.21190747804728385,0.21216430026539515,0.04501369030710475,4.713328296745049,22.21546363289758,-0.9987895125721432,-0.19096045197740108,0.28776978417266186,0.2206896551724138,0.766896551724138,-0.26540336060409236,0.2652183936465465,"6, 11",1,5,No,,2,Standard,Other,2022.25,2022.25,2022,1.2757567588164636,2022,2021-2024,2021-2024,TRUE,TRUE,TRUE,TRUE
"Acolin, Bostic, & Painter (2016)","Acolin, Bostic, & Painter (2016) 1",https://doi.org/10.1016/j.jue.2016.07.003,Yes,Ethno-racial origin,ero,English,1,Sub-Saharan African name,"Black, Central African, African American",French name,Western European,"African American, Central African, Black x Western European",Female,Various or Unknown,Employed,Unknown or NA,2014,April,2,2014,May,2,France,,FRA,Europe,Western Europe,Western Europe,Positive reaction,Private owner,Email,No,Mixed,No information,No,Yes,150,150,119,77,31,73,0.6533333333333333,-0.4256678154256838,0.7933333333333333,0.5133333333333333,0.6470588235294117,-0.43531807125784566,0.08976102159744767,0.008057040998217467,11.14069316729384,124.11504424778764,-4.849745062061814,-0.3529411764705883,3.838709677419355,1.0547945205479452,0.2747784045124899,-1.2917903079210904,0.25951313836618395,55,4,,No,,2,Standard,Europe,2014.25,2014.25,2014,-0.32236653745958405,2014,2011-2020,2011-2015,TRUE,TRUE,TRUE,TRUE
"Acolin, Bostic, & Painter (2016)","Acolin, Bostic, & Painter (2016) 1",https://doi.org/10.1016/j.jue.2016.07.003,Yes,Ethno-racial origin,ero,English,1,Polish name,Eastern European and other White,French name,Western European,Eastern European x Western European,Female,Various or Unknown,Mixed or Unknown,Unknown or NA,2014,April,2,2014,May,2,France,,FRA,Europe,Western Europe,Western Europe,Positive reaction,Private owner,Email,No,Mixed,No information,No,Yes,150,150,119,116,31,34,0.7833333333333333,-0.2441969605120421,0.7933333333333333,0.7733333333333333,0.9747899159663865,-0.025533302005164762,0.06075127707609853,0.0036907176663768947,16.46055931873458,270.95001308557977,-0.4202924322591791,-0.025210084033613467,3.838709677419355,3.411764705882353,0.888779041028176,-0.1179066221361799,0.2805242952432491,55,4,,No,,2,Standard,Europe,2014.25,2014.25,2014,-0.32236653745958405,2014,2011-2020,2011-2015,TRUE,TRUE,TRUE,TRUE
